State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Andhra Pradesh",Chittor,Punganur,Tomato,Hybrid,FAQ,10/08/2024,2140,2700,2340
"Andhra Pradesh",Visakhapatnam,Anakapally,Gur(Jaggery),"NO 1",FAQ,10/08/2024,4570,4900,4735
Bihar,Banka,Barahat,Onion,Medium,FAQ,10/08/2024,4000,4600,4300
Bihar,Kishanganj,Bahadurganj,"Red Gram",AL-15,FAQ,10/08/2024,6500,7000,6800
Bihar,Madhubani,Jahajharpur,Potato,Jyoti,FAQ,10/08/2024,2700,2900,2800
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Apple,Apple,Medium,10/08/2024,3000,10000,8000
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),"Bottle gourd",Other,FAQ,10/08/2024,1000,2200,1500
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Cucumbar(Kheera),Other,FAQ,10/08/2024,1500,3000,2500
Chattisgarh,Balod,Balod,Paddy(Dhan)(Common),"I.R. 64",FAQ,10/08/2024,2020,2052,2035
Chattisgarh,Balod,Dondi,Paddy(Dhan)(Common),"I.R. 64",FAQ,10/08/2024,2010,2015,2011
Chattisgarh,Balodabazar,Kasdol,Paddy(Dhan)(Common),Paddy,FAQ,10/08/2024,1900,2000,1950
Chattisgarh,Bilaspur,Tiphra,Beetroot,Beetroot,FAQ,10/08/2024,3300,3500,3400
Chattisgarh,Bilaspur,Tiphra,Onion,Other,FAQ,10/08/2024,3000,3200,3100
Chattisgarh,Bilaspur,Tiphra,Pomegranate,Other,Large,10/08/2024,8800,9000,8900
Chattisgarh,Dhamtari,Belarbahara,Paddy(Dhan)(Common),"I.R. 36",FAQ,10/08/2024,1800,1800,1800
Chattisgarh,Jashpur,Pathalgaon,Wheat,Local,FAQ,10/08/2024,2100,2100,2100
Chattisgarh,Kabirdham,Pandariya,Same/Savi,Other,FAQ,10/08/2024,3400,3400,3400
Chattisgarh,Kanker,Charama,Paddy(Dhan)(Common),Other,FAQ,10/08/2024,2000,2000,2000
Chattisgarh,Mahasamund,Jhalap,Paddy(Dhan)(Common),"Paddy fine",FAQ,10/08/2024,1950,2000,2000
Chattisgarh,Raipur,Arang,Paddy(Dhan)(Common),"Paddy Medium",FAQ,10/08/2024,2005,2010,2008
Chattisgarh,Rajnandgaon,Gandai,"Kodo Millet(Varagu)",Varagu,FAQ,10/08/2024,2600,2800,2700
Chattisgarh,Surguja,Ambikapur,Maize,Local,FAQ,10/08/2024,2096,2096,2096
Chattisgarh,Surguja,Ambikapur,Wheat,Local,FAQ,10/08/2024,2280,2280,2280
Goa,"South Goa",Ponda,Arecanut(Betelnut/Supari),White,FAQ,10/08/2024,30000,30200,30100
Gujarat,Ahmedabad,Viramgam,Ajwan,Ajwan,FAQ,10/08/2024,11155,12450,11802
Gujarat,Ahmedabad,Viramgam,"Castor Seed","Castor seed",FAQ,10/08/2024,5960,6005,5982
Gujarat,Ahmedabad,Viramgam,Wheat,Other,FAQ,10/08/2024,2060,2675,2367
Gujarat,Amreli,Damnagar,Cabbage,Cabbage,FAQ,10/08/2024,1650,2250,1800
